Record Number,Fiscal Year,Department Name,Sub-Unit of Department,EEO Category Name,Reason,Employee Status,Pay Plan,Pay Grade,Classification Title,Separation Date,Pay Period End Date,Current Fiscal Year
19460,2017,Iowa Workforce Development,,Professional,Retirement,Permanent (Merit),014,24,WORKFORCE ADVISOR,12/19/2016,12/29/2016,false
19461,2017,"Human Services, Department of",Field Operations,Administrative Support,Retirement,Permanent (Merit),009,24,INCOME MAINT WORKER 2,12/19/2016,12/29/2016,false
19462,2017,"Human Services, Department of",Eldora Training School,Professional,Voluntary Resignation,Probationary (Merit),014,19,YOUTH SERVICES WORKER,12/19/2016,12/29/2016,false
19463,2017,"Human Services, Department of",Cherokee,Service/Maintenance,Retirement,Permanent (Merit),014,13,FOOD SERVICE WORKER,12/19/2016,12/29/2016,false
19464,2017,"Human Services, Department of",Glenwood,Service/Maintenance,Retirement,Permanent (Merit),014,19,RESIDENT TREATMENT WORKER,12/19/2016,12/29/2016,false
19466,2017,"Public Safety, Department of",,Protective Services - Sworn,Voluntary Resignation,Permanent (Nonmerit),007,79,TROOPER 3,12/19/2016,12/29/2016,false
19465,2017,"Public Safety, Department of",,Protective Services - Sworn,Retirement,Permanent (Nonmerit),007,32,SPECIAL AGENT 2,12/19/2016,12/29/2016,false
19467,2017,Iowa Veterans Home,,Service/Maintenance,Retirement,Permanent (Merit),014,19,RESIDENT TREATMENT WORKER,12/19/2016,12/29/2016,false
19468,2017,"Human Services, Department of",Independence,Professional,Death,Permanent (Merit),014,30,REGISTERED NURSE,12/20/2016,12/29/2016,false
19469,2017,"Corrections, Department of",Oakdale,Protective Services - Sworn,Voluntary Resignation,Permanent (Merit),014,23,CORRECTIONAL OFFICER,12/21/2016,12/29/2016,false
19470,2017,"Natural Resources, Department of",,Official/Administrator,Retirement,Permanent (Nonmerit),000,38,PUBLIC SERVICE MANAGER 2,12/21/2016,12/29/2016,false
19471,2017,Auditor of State,,Professional,Voluntary Resignation,Permanent (Nonmerit),000,29,ASST AUDITOR 2,12/22/2016,12/29/2016,false
19472,2017,"Education, Department of",Vocational Rehabilitation,Administrative Support,Retirement,Permanent (Merit),009,31,DISABILITY EXAMINER SPEC ADV,12/22/2016,12/29/2016,false
19473,2017,"Education, Department of",Iowa Public Television,Official/Administrator,Retirement,Permanent (Nonmerit),000,35(-3),PUBLIC SERVICE MANAGER 1,12/22/2016,12/29/2016,false
19474,2017,"Human Services, Department of",Woodward,Service/Maintenance,Involuntary Dismissal,Permanent (Merit),014,19,RESIDENT TREATMENT WORKER,12/22/2016,12/29/2016,false
19476,2017,Iowa Workforce Development,,Professional,Involuntary Dismissal,Permanent (Merit),014,24,WORKFORCE ADVISOR,12/23/2016,12/29/2016,false
19477,2017,"Human Services, Department of",Woodward,Service/Maintenance,Retirement,Permanent (Merit),014,19,RESIDENT TREATMENT WORKER,12/24/2016,12/29/2016,false
19478,2017,"Corrections, Department of",Clarinda,Protective Services - Sworn,Death,Permanent (Merit),014,23,CORRECTIONAL OFFICER,12/25/2016,12/29/2016,false
19479,2017,"Corrections, Department of",Fort Madison,Professional,Voluntary Resignation,Permanent (Merit),000,47(-2),DENTIST,12/26/2016,12/29/2016,false
19480,2017,"Human Services, Department of",Glenwood,Service/Maintenance,Voluntary Resignation,Permanent (Merit),014,19,RESIDENT TREATMENT WORKER,12/26/2016,12/29/2016,false
19481,2017,"Corrections, Department of",Anamosa,Protective Services - Sworn,Involuntary Resignation,Probationary (Merit),014,23,CORRECTIONAL OFFICER,12/27/2016,12/29/2016,false
19482,2017,Iowa Workforce Development,,Administrative Support,Involuntary Layoff,Permanent (Merit),014,14,CLERK-ADVANCED,12/27/2016,12/29/2016,false
19483,2017,"Human Services, Department of",Field Operations,Administrative Support,Retirement,Permanent (Merit),009,24,INCOME MAINT WORKER 2,12/27/2016,12/29/2016,false
19484,2017,"Corrections, Department of",Anamosa,Protective Services - Sworn,Voluntary Resignation,Permanent (Merit),014,23,CORRECTIONAL OFFICER,12/28/2016,12/29/2016,false
19485,2017,"Corrections, Department of",Rockwell City,Protective Services - Sworn,Involuntary Dismissal,Probationary (Merit),014,23,CORRECTIONAL OFFICER,12/28/2016,12/29/2016,false
19487,2017,"Corrections, Department of",Mitchellville,Protective Services - Sworn,Voluntary Resignation,Permanent (Merit),014,23,CORRECTIONAL OFFICER,12/28/2016,12/29/2016,false
19486,2017,"Corrections, Department of",Mitchellville,Protective Services - Sworn,Voluntary Resignation,Permanent (Merit),014,23,CORRECTIONAL OFFICER,12/28/2016,12/29/2016,false
19488,2017,"Human Services, Department of",Eldora Training School,Professional,Retirement,Permanent (Merit),014,19,YOUTH SERVICES WORKER,12/28/2016,12/29/2016,false
19489,2017,Iowa Veterans Home,,Technician,Retirement,Permanent (Merit),014,26,LICENSED PRACTICAL NURSE,12/28/2016,12/29/2016,false
19492,2017,Agriculture and Land Stewardship,,Professional,Retirement,Permanent (Merit),014,26,PROGRAM PLANNER 2,12/29/2016,12/29/2016,false
19491,2017,Agriculture and Land Stewardship,,Administrative Support,Retirement,Permanent (Merit),014,20,SECRETARY 2,12/29/2016,12/29/2016,false
19490,2017,Agriculture and Land Stewardship,,Professional,Retirement,Permanent (Merit),014,29,PROGRAM PLANNER 3,12/29/2016,12/29/2016,false
19493,2017,Attorney General,,Professional,Retirement,Permanent (Nonmerit),000,39,ASST ATTORNEY GENERAL 3,12/29/2016,12/29/2016,false
19495,2017,"Commerce, Department of",Utilities Division,Professional,Retirement,Permanent (Merit),000,42,UTILITY ATTORNEY 2,12/29/2016,12/29/2016,false
19496,2017,"Corrections, Department of",Fort Madison,Protective Services - Sworn,Retirement,Permanent (Merit),014,23,CORRECTIONAL OFFICER,12/29/2016,12/29/2016,false
19497,2017,"Corrections, Department of",Anamosa,Protective Services - Sworn,Retirement,Permanent (Merit),014,23,CORRECTIONAL OFFICER,12/29/2016,12/29/2016,false
19498,2017,"Corrections, Department of",Clarinda,Protective Services - Sworn,Retirement,Permanent (Merit),014,23,CORRECTIONAL OFFICER,12/29/2016,12/29/2016,false
19499,2017,"Corrections, Department of",Mitchellville,Service/Maintenance,Retirement,Permanent (Merit),014,24,CORRECTIONAL FOOD SERVICE COORD,12/29/2016,12/29/2016,false
19500,2017,"Education, Department of",Vocational Rehabilitation,Administrative Support,Retirement,Permanent (Merit),014,20,ACCOUNTING TECHNICIAN 2,12/29/2016,12/29/2016,false
19501,2017,Iowa Workforce Development,,Professional,Retirement,Permanent (Merit),014,24,WORKFORCE ADVISOR,12/29/2016,12/29/2016,false
19502,2017,Iowa Workforce Development,,Professional,Retirement,Permanent (Merit),014,24,WORKFORCE ADVISOR,12/29/2016,12/29/2016,false
19504,2017,"Human Services, Department of",Field Operations,Professional,Retirement,Permanent (Merit),014,26,INFO TECH SPECIALIST 2,12/29/2016,12/29/2016,false
19505,2017,"Human Services, Department of",Field Operations,Professional,Retirement,Permanent (Merit),014,29,PROGRAM PLANNER 3,12/29/2016,12/29/2016,false
19503,2017,"Human Services, Department of",Field Operations,Administrative Support,Retirement,Permanent (Merit),014,15,TYPIST-ADVANCED,12/29/2016,12/29/2016,false
19506,2017,"Human Services, Department of",Cherokee,Service/Maintenance,Retirement,Permanent (Merit),014,15,LAUNDRY WORKER 1,12/29/2016,12/29/2016,false
19507,2017,"Human Services, Department of",Cherokee,Skilled Craft,Retirement,Permanent (Merit),014,25+13.5%,ELECTRICIAN,12/29/2016,12/29/2016,false
19508,2017,"Human Services, Department of",Independence,Professional,Retirement,Permanent (Merit),014,36,NURSE PRACTITIONER,12/29/2016,12/29/2016,false
19510,2017,"Human Services, Department of",Glenwood,Service/Maintenance,Retirement,Permanent (Merit),014,19,RESIDENT TREATMENT WORKER,12/29/2016,12/29/2016,false
19509,2017,"Human Services, Department of",Glenwood,Professional,Retirement,Permanent (Merit),014,30,REGISTERED NURSE,12/29/2016,12/29/2016,false
19512,2017,"Human Services, Department of",Woodward,Service/Maintenance,Retirement,Permanent (Merit),000,24,RESIDENT TREATMENT SUPERVISOR,12/29/2016,12/29/2016,false
19511,2017,"Human Services, Department of",Woodward,Service/Maintenance,Retirement,Permanent (Merit),014,19,RESIDENT TREATMENT WORKER,12/29/2016,12/29/2016,false
19513,2017,"Human Services, Department of",Woodward,Service/Maintenance,Retirement,Permanent (Merit),000,24,RESIDENT TREATMENT SUPERVISOR,12/29/2016,12/29/2016,false
19514,2017,"Natural Resources, Department of",,Administrative Support,Retirement,Permanent (Merit),014,20,ACCOUNTING TECHNICIAN 2,12/29/2016,12/29/2016,false
19516,2017,"Natural Resources, Department of",,Technician,Retirement,Permanent (Merit),014,23,NATURAL RESOURCES TECHNICIAN 2,12/29/2016,12/29/2016,false
19517,2017,"Natural Resources, Department of",,Official/Administrator,Retirement,Permanent (Merit),000,35(-3),PUBLIC SERVICE MANAGER 1,12/29/2016,12/29/2016,false
19515,2017,"Natural Resources, Department of",,Administrative Support,Retirement,Permanent (Merit),014,23,ACCOUNTING TECHNICIAN 3,12/29/2016,12/29/2016,false
19518,2017,"Public Health, Department of",,Official/Administrator,Retirement,Permanent (Merit),014,32,EXEC OFF 2,12/29/2016,12/29/2016,false
19521,2017,"Public Safety, Department of",,Professional,Retirement,Permanent (Merit),014,29,PROGRAM PLANNER 3,12/29/2016,12/29/2016,false
19519,2017,"Public Safety, Department of",,Administrative Support,Retirement,Permanent (Merit),014,20,SECRETARY 2,12/29/2016,12/29/2016,false
19520,2017,"Public Safety, Department of",,Official/Administrator,Retirement,Permanent (Merit),014,29,EXEC OFF 1,12/29/2016,12/29/2016,false
19522,2017,Attorney General,,Administrative Support,Retirement,Permanent (Nonmerit),000,22,LEGAL SECRETARY 3,12/30/2016,01/12/2017,false
19523,2017,Attorney General,Consumer Advocate,Professional,Retirement,Permanent (Merit),000,42,UTILITY ATTORNEY 2,12/30/2016,01/12/2017,false
19524,2017,"Blind, Iowa Commission for the",,Professional,Retirement,Permanent (Nonmerit),013,29,SENIOR SVC SPEC FOR THE BLIND 2,12/30/2016,01/12/2017,false
19525,2017,"Chief Information Officer, Office of the",,Professional,Retirement,Permanent (Merit),014,32,INFO TECH SPECIALIST 4,12/30/2016,01/12/2017,false
19527,2017,"Corrections, Department of",Fort Madison,Protective Services - Sworn,Retirement,Permanent (Merit),014,23,CORRECTIONAL OFFICER,12/30/2016,01/12/2017,false
19528,2017,"Corrections, Department of",Fort Madison,Protective Services - Sworn,Retirement,Permanent (Merit),014,23,CORRECTIONAL OFFICER,12/30/2016,01/12/2017,false
19526,2017,"Corrections, Department of",Fort Madison,Administrative Support,Retirement,Permanent (Merit),014,19,STOREKEEPER 3,12/30/2016,01/12/2017,false
19529,2017,"Corrections, Department of",Anamosa,Administrative Support,Retirement,Permanent (Merit),014,17,ACCOUNTING CLERK 2,12/30/2016,01/12/2017,false
19531,2017,"Corrections, Department of",Anamosa,Protective Services - Sworn,Retirement,Permanent (Merit),014,23,CORRECTIONAL OFFICER,12/30/2016,01/12/2017,false
19530,2017,"Corrections, Department of",Anamosa,Protective Services - Sworn,Retirement,Permanent (Merit),014,23,CORRECTIONAL OFFICER,12/30/2016,01/12/2017,false
19532,2017,"Corrections, Department of",Oakdale,Official/Administrator,Retirement,Permanent (Nonmerit),000,57,HEALTH SERVICES ADMINISTRATOR,12/30/2016,01/12/2017,false
19533,2017,"Corrections, Department of",Mt Pleasant,Protective Services - Sworn,Retirement,Permanent (Merit),014,25,SENIOR CORRECTIONAL OFFICER,12/30/2016,01/12/2017,false
19534,2017,"Corrections, Department of",Rockwell City,Official/Administrator,Retirement,Permanent (Nonmerit),000,42(-6),INSTITUTIONAL SUPERINTENDENT,12/30/2016,01/12/2017,false
19536,2017,"Education, Department of",Vocational Rehabilitation,Professional,Voluntary Resignation,Permanent (Merit),009,28,REHABILITATION COUNSELOR,12/30/2016,01/12/2017,false
19537,2017,"Education, Department of",Vocational Rehabilitation,Professional,Retirement,Permanent (Merit),009,28,REHABILITATION COUNSELOR,12/30/2016,01/12/2017,false
19535,2017,"Education, Department of",Vocational Rehabilitation,Professional,Retirement,Permanent (Merit),013,45,ADMIN CONSULTANT VOC REHAB 2,12/30/2016,01/12/2017,false
19539,2017,Iowa Workforce Development,,Professional,Involuntary Layoff,Permanent (Merit),014,26,JOB INSURANCE QUALITY AUDITOR 2,12/30/2016,01/12/2017,false
19538,2017,Iowa Workforce Development,,Official/Administrator,Retirement,Permanent (Merit),014,26,INVESTIGATOR 2,12/30/2016,01/12/2017,false
19541,2017,"Human Services, Department of",Field Operations,Professional,Retirement,Permanent (Merit),009,27,SOCIAL WORKER 3,12/30/2016,01/12/2017,false
19540,2017,"Human Services, Department of",Field Operations,Professional,Retirement,Permanent (Merit),009,25,SOCIAL WORKER 2,12/30/2016,01/12/2017,false
19543,2017,"Human Services, Department of",Field Operations,Administrative Support,Retirement,Permanent (Merit),009,24,CHILD SUPPORT RECOVERY OFFICER,12/30/2016,01/12/2017,false
19542,2017,"Human Services, Department of",Field Operations,Administrative Support,Retirement,Permanent (Merit),014,15,TYPIST-ADVANCED,12/30/2016,01/12/2017,false
19544,2017,"Human Services, Department of",Cherokee,Administrative Support,Retirement,Permanent (Merit),000,24,HUMAN RESOURCES ASSOCIATE,12/30/2016,01/12/2017,false
19545,2017,"Human Services, Department of",Cherokee,Service/Maintenance,Retirement,Permanent (Merit),014,16,LAUNDRY WORKER 2,12/30/2016,01/12/2017,false
19546,2017,"Human Services, Department of",Woodward,Service/Maintenance,Retirement,Permanent (Merit),014,19,RESIDENT TREATMENT WORKER,12/30/2016,01/12/2017,false
19548,2017,"Inspections & Appeals, Department of",,Professional,Retirement,Permanent (Merit),009,27,ENVIRONMENTAL SPECIALIST,12/30/2016,01/12/2017,false
19547,2017,"Inspections & Appeals, Department of",,Professional,Retirement,Permanent (Merit),014,26,INFO TECH SPECIALIST 2,12/30/2016,01/12/2017,false
19555,2017,"Management, Department of",,Official/Administrator,Retirement,Permanent (Merit),000,35(-3),FISCAL & POLICY ANALYST SENIOR,12/30/2016,01/12/2017,false
19558,2017,"Natural Resources, Department of",,Professional,Retirement,Permanent (Merit),009,28,FORESTER 2,12/30/2016,01/12/2017,false
19557,2017,"Natural Resources, Department of",,Official/Administrator,Retirement,Permanent (Merit),000,35(-3),PUBLIC SERVICE MANAGER 1,12/30/2016,01/12/2017,false
19556,2017,"Natural Resources, Department of",,Administrative Support,Retirement,Permanent (Merit),014,21,ADMIN ASSISTANT 1,12/30/2016,01/12/2017,false
19559,2017,"Public Defense, Department of",,Skilled Craft,Retirement,Permanent (Merit),014,19+13.5%,MAINTENANCE REPAIRER,12/30/2016,01/12/2017,false
19560,2017,"Public Defense, Department of",,Skilled Craft,Retirement,Permanent (Merit),014,19+13.5%,PLUMBER 1,12/30/2016,01/12/2017,false
19561,2017,"Public Health, Department of",,Administrative Support,Retirement,Permanent (Merit),014,24,ADMIN ASSISTANT 2,12/30/2016,01/12/2017,false
19562,2017,"Public Safety, Department of",,Professional,Retirement,Permanent (Merit),014,35,INFO TECH SPECIALIST 5,12/30/2016,01/12/2017,false
19563,2017,"Revenue, Department of",,Official/Administrator,Retirement,Permanent (Merit),014,32,EXEC OFF 2,12/30/2016,01/12/2017,false
19565,2017,"Revenue, Department of",,Administrative Support,Retirement,Permanent (Merit),014,21,ADMIN ASSISTANT 1,12/30/2016,01/12/2017,false
19564,2017,"Revenue, Department of",,Professional,Retirement,Permanent (Merit),014,29,REVENUE AUDITOR 3,12/30/2016,01/12/2017,false
19567,2017,Iowa Veterans Home,,Professional,Retirement,Permanent (Merit),014,31,NURSE CLINICIAN,12/30/2016,01/12/2017,false
19566,2017,Iowa Veterans Home,,Professional,Retirement,Permanent (Nonmerit),000,33,NURSE SUPERVISOR,12/30/2016,01/12/2017,false
19568,2017,Iowa Veterans Home,,Professional,Retirement,Permanent (Merit),000,33,NURSE SUPERVISOR,12/30/2016,01/12/2017,false
19569,2017,"Corrections, Department of",Fort Madison,Professional,Retirement,Permanent (Merit),014,30,REGISTERED NURSE,12/31/2016,01/12/2017,false
19570,2017,"Corrections, Department of",Fort Madison,Protective Services - Sworn,Retirement,Permanent (Merit),014,23,CORRECTIONAL OFFICER,12/31/2016,01/12/2017,false
19571,2017,"Human Services, Department of",Glenwood,Administrative Support,Retirement,Permanent (Merit),014,23,PSYCHOLOGY ASSISTANT,12/31/2016,01/12/2017,false
19573,2017,"Human Services, Department of",Woodward,Service/Maintenance,Retirement,Permanent (Merit),014,19,RESIDENT TREATMENT WORKER,12/31/2016,01/12/2017,false
19572,2017,"Human Services, Department of",Woodward,Service/Maintenance,Retirement,Permanent (Merit),014,19,RESIDENT TREATMENT WORKER,12/31/2016,01/12/2017,false
19574,2017,"Public Safety, Department of",,Administrative Support,Retirement,Permanent (Merit),014,22,COMMUNICATIONS CENTER SPEC 2,12/31/2016,01/12/2017,false
19575,2017,"Corrections, Department of",Fort Madison,Protective Services - Sworn,Voluntary Resignation,Permanent (Merit),014,23,CORRECTIONAL OFFICER,01/01/2017,01/12/2017,false
19576,2017,"Human Services, Department of",Glenwood,Professional,Voluntary Resignation,Permanent (Merit),014,30,REGISTERED NURSE,01/01/2017,01/12/2017,false
19577,2017,"Corrections, Department of",Fort Madison,Professional,Voluntary Resignation,Permanent (Merit),014,30,REGISTERED NURSE,01/02/2017,01/12/2017,false
19578,2017,"Corrections, Department of",Oakdale,Protective Services - Sworn,Voluntary Resignation,Probationary (Merit),014,23,CORRECTIONAL OFFICER,01/02/2017,01/12/2017,false
19579,2017,"Public Defense, Department of",,Protective Services - Sworn,Voluntary Resignation,Permanent (Merit),014,21,AIR BASE SECURITY OFFICER,01/02/2017,01/12/2017,false
19580,2017,"Corrections, Department of",Rockwell City,Protective Services - Sworn,Involuntary Dismissal,Probationary (Merit),014,23,CORRECTIONAL OFFICER,01/03/2017,01/12/2017,false
19581,2017,"Corrections, Department of",Fort Dodge,Protective Services - Sworn,Voluntary Resignation,Permanent (Merit),014,23,CORRECTIONAL OFFICER,01/03/2017,01/12/2017,false
19582,2017,"Human Services, Department of",Field Operations,Administrative Support,Retirement,Permanent (Merit),014,15,TYPIST-ADVANCED,01/03/2017,01/12/2017,false
19589,2017,"Human Services, Department of",Glenwood,Service/Maintenance,Involuntary Resignation,Permanent (Merit),014,19,RESIDENT TREATMENT WORKER,01/03/2017,01/12/2017,false
19584,2017,"Human Services, Department of",Glenwood,Service/Maintenance,Involuntary Dismissal,Permanent (Merit),014,19,RESIDENT TREATMENT WORKER,01/03/2017,01/12/2017,false
19588,2017,"Human Services, Department of",Glenwood,Service/Maintenance,Involuntary Dismissal,Permanent (Merit),014,19,RESIDENT TREATMENT WORKER,01/03/2017,01/12/2017,false
19583,2017,"Human Services, Department of",Glenwood,Service/Maintenance,Involuntary Resignation,Permanent (Merit),014,19,RESIDENT TREATMENT WORKER,01/03/2017,01/12/2017,false
19585,2017,"Human Services, Department of",Glenwood,Service/Maintenance,Involuntary Dismissal,Permanent (Merit),014,19,RESIDENT TREATMENT WORKER,01/03/2017,01/12/2017,false
19587,2017,"Human Services, Department of",Glenwood,Service/Maintenance,Involuntary Resignation,Permanent (Merit),014,19,RESIDENT TREATMENT WORKER,01/03/2017,01/12/2017,false
19586,2017,"Human Services, Department of",Glenwood,Service/Maintenance,Involuntary Dismissal,Permanent (Merit),014,19,RESIDENT TREATMENT WORKER,01/03/2017,01/12/2017,false
19590,2017,"Human Services, Department of",Woodward,Administrative Support,Retirement,Permanent (Merit),000,24,HUMAN RESOURCES ASSOCIATE,01/03/2017,01/12/2017,false
19591,2017,"Natural Resources, Department of",,Professional,Voluntary Resignation,Permanent (Merit),009,27,ENVIRONMENTAL SPECIALIST,01/03/2017,01/12/2017,false
19592,2017,Homeland Security and Emergency Management,,Professional,Voluntary Resignation,Permanent (Merit),014,29,PROGRAM PLANNER 3,01/03/2017,01/12/2017,false
19593,2017,Auditor of State,,Professional,Voluntary Resignation,Permanent (Nonmerit),000,31,ASST AUDITOR 3,01/04/2017,01/12/2017,false
19594,2017,Iowa Veterans Home,,Service/Maintenance,Abandoned Job,Probationary (Merit),014,19,RESIDENT TREATMENT WORKER,01/04/2017,01/12/2017,false
19595,2017,"Administrative Services, Department of",,Skilled Craft,Voluntary Resignation,Probationary (Merit),014,16,MAINTENANCE WORKER 2,01/05/2017,01/12/2017,false
19597,2017,"Commerce, Department of",Alcoholic Beverages,Service/Maintenance,Involuntary Dismissal,Probationary (Merit),014,16+13.5%,WAREHOUSE OPERATIONS WORKER,01/05/2017,01/12/2017,false
19599,2017,"Public Health, Department of",,Professional,Voluntary Resignation,Permanent (Merit),014,29,PROGRAM PLANNER 3,01/05/2017,01/12/2017,false
19600,2017,Iowa Veterans Home,,Skilled Craft,Retirement,Permanent (Merit),014,19+13.5%,MAINTENANCE REPAIRER,01/05/2017,01/12/2017,false
19601,2017,Auditor of State,,Professional,Voluntary Resignation,Permanent (Nonmerit),000,27,ASST AUDITOR 1,01/06/2017,01/12/2017,false
19603,2017,Auditor of State,,Professional,Voluntary Resignation,Permanent (Nonmerit),000,29,ASST AUDITOR 2,01/06/2017,01/12/2017,false
19602,2017,Auditor of State,,Professional,Voluntary Resignation,Permanent (Nonmerit),000,27,ASST AUDITOR 1,01/06/2017,01/12/2017,false
19604,2017,Auditor of State,,Professional,Voluntary Resignation,Permanent (Nonmerit),000,31,ASST AUDITOR 3,01/06/2017,01/12/2017,false
19605,2017,"Corrections, Department of",Fort Madison,Protective Services - Sworn,Voluntary Resignation,Permanent (Merit),014,23,CORRECTIONAL OFFICER,01/06/2017,01/12/2017,false
19606,2017,"Corrections, Department of",Oakdale,Professional,Voluntary Resignation,Permanent (Merit),014,36,PHYSICIAN ASSISTANT,01/06/2017,01/12/2017,false
19607,2017,"Corrections, Department of",Oakdale,Protective Services - Sworn,Voluntary Resignation,Permanent (Merit),014,23,CORRECTIONAL OFFICER,01/06/2017,01/12/2017,false
19608,2017,"Education, Department of",Vocational Rehabilitation,Administrative Support,Voluntary Resignation,Permanent (Merit),009,27,DISABILITY EXAMINER,01/06/2017,01/12/2017,false
19610,2017,Iowa Workforce Development,,Professional,Voluntary Resignation,Permanent (Merit),014,24,WORKFORCE ADVISOR,01/06/2017,01/12/2017,false
19609,2017,Iowa Workforce Development,,Professional,Retirement,Permanent (Merit),014,24,WORKFORCE ADVISOR,01/06/2017,01/12/2017,false
19611,2017,"Human Services, Department of",Field Operations,Administrative Support,Involuntary Dismissal,Probationary (Merit),014,14,CLERK-ADVANCED,01/06/2017,01/12/2017,false
19612,2017,"Human Services, Department of",Field Operations,Administrative Support,Voluntary Resignation,Permanent (Merit),009,24,INCOME MAINT WORKER 2,01/06/2017,01/12/2017,false
19614,2017,"Human Services, Department of",Glenwood,Service/Maintenance,Voluntary Resignation,Permanent (Merit),014,19,RESIDENT TREATMENT WORKER,01/06/2017,01/12/2017,false
19613,2017,"Human Services, Department of",Glenwood,Service/Maintenance,Voluntary Resignation,Permanent (Merit),014,19,RESIDENT TREATMENT WORKER,01/06/2017,01/12/2017,false
19615,2017,"Human Services, Department of",Glenwood,Service/Maintenance,Retirement,Permanent (Merit),014,19,RESIDENT TREATMENT WORKER,01/06/2017,01/12/2017,false
19616,2017,"Inspections & Appeals, Department of",Racing Commission,Official/Administrator,Retirement,Permanent (Nonmerit),000,38,PUBLIC SERVICE MANAGER 2,01/06/2017,01/12/2017,false
19618,2017,"Public Health, Department of",,Official/Administrator,Retirement,Permanent (Nonmerit),000,35(-3),PUBLIC SERVICE MANAGER 1,01/06/2017,01/12/2017,false
19619,2017,"Public Safety, Department of",,Technician,Retirement,Permanent (Merit),009,32,CRIMINALIST,01/06/2017,01/12/2017,false
19620,2017,Iowa Veterans Home,,Service/Maintenance,Voluntary Resignation,Permanent (Merit),014,19,RESIDENT TREATMENT WORKER,01/07/2017,01/12/2017,false
19621,2017,"Corrections, Department of",Mitchellville,Professional,Voluntary Resignation,Probationary (Merit),014,30,REGISTERED NURSE,01/08/2017,01/12/2017,false
19622,2017,"Human Services, Department of",Independence,Skilled Craft,Voluntary Resignation,Permanent (Merit),014,19+13.5%,MAINTENANCE REPAIRER,01/08/2017,01/12/2017,false
19623,2017,"Human Services, Department of",Woodward,Service/Maintenance,Voluntary Resignation,Permanent (Merit),014,19,RESIDENT TREATMENT WORKER,01/08/2017,01/12/2017,false
19624,2017,"Corrections, Department of",Mitchellville,Protective Services - Sworn,Voluntary Resignation,Permanent (Merit),014,23,CORRECTIONAL OFFICER,01/09/2017,01/12/2017,false
19625,2017,"Human Services, Department of",Glenwood,Service/Maintenance,Voluntary Resignation,Permanent (Merit),014,19,RESIDENT TREATMENT WORKER,01/09/2017,01/12/2017,false
19626,2017,"Revenue, Department of",,Professional,Voluntary Resignation,Permanent (Merit),014,26,PROGRAM PLANNER 2,01/09/2017,01/12/2017,false
19627,2017,"Corrections, Department of",Rockwell City,Protective Services - Sworn,Voluntary Resignation,Probationary (Merit),014,23,CORRECTIONAL OFFICER,01/10/2017,01/12/2017,false
19628,2017,"Education, Department of",Vocational Rehabilitation,Professional,Involuntary Dismissal,Probationary (Merit),009,28,REHABILITATION COUNSELOR,01/10/2017,01/12/2017,false
19629,2017,"Human Services, Department of",Cherokee CCUSO,Service/Maintenance,Voluntary Resignation,Permanent (Merit),014,23,PSYCHIATRIC SECURITY SPECIALIST,01/10/2017,01/12/2017,false
19630,2017,"Natural Resources, Department of",,Professional,Voluntary Resignation,Permanent (Merit),000,30,NATURAL RESOURCES BIOMETRICIAN,01/10/2017,01/12/2017,false
19631,2017,"Corrections, Department of",Newton,Protective Services - Sworn,Voluntary Resignation,Permanent (Merit),014,23,CORRECTIONAL OFFICER,01/11/2017,01/12/2017,false
19632,2017,Iowa Workforce Development,,Professional,Retirement,Permanent (Merit),014,26,FIELD AUDITOR,01/11/2017,01/12/2017,false
19633,2017,"Human Services, Department of",Field Operations,Administrative Support,Involuntary Dismissal,Probationary (Merit),009,24,INCOME MAINT WORKER 2,01/11/2017,01/12/2017,false
19634,2017,"Human Services, Department of",Glenwood,Service/Maintenance,Retirement,Permanent (Merit),014,19,RESIDENT TREATMENT WORKER,01/11/2017,01/12/2017,false
19635,2017,Attorney General,,Administrative Support,Retirement,Permanent (Nonmerit),000,22,LEGAL SECRETARY 3,01/12/2017,01/12/2017,false
19636,2017,"Corrections, Department of",Mitchellville,Protective Services - Sworn,Voluntary Resignation,Permanent (Merit),014,23,CORRECTIONAL OFFICER,01/12/2017,01/12/2017,false
19637,2017,"Corrections, Department of",Fort Dodge,Service/Maintenance,Retirement,Permanent (Merit),014,24,CORRECTIONAL FOOD SERVICE COORD,01/12/2017,01/12/2017,false
19638,2017,"Aging, Iowa Department on",,Administrative Support,Retirement,Permanent (Merit),014,20,SECRETARY 2,01/12/2017,01/12/2017,false
19639,2017,"Human Services, Department of",Eldora Training School,Professional,Involuntary Dismissal,Probationary (Merit),014,19,YOUTH SERVICES WORKER,01/12/2017,01/12/2017,false
19640,2017,"Human Services, Department of",Independence,Professional,Retirement,Permanent (Merit),014,30,REGISTERED NURSE,01/12/2017,01/12/2017,false
19641,2017,"Human Services, Department of",Glenwood,Service/Maintenance,Voluntary Resignation,Permanent (Merit),014,19,RESIDENT TREATMENT WORKER,01/12/2017,01/12/2017,false
19643,2017,"Inspections & Appeals, Department of",,Professional,Retirement,Permanent (Merit),014,31,HEALTH FACILITIES SURVEYOR,01/12/2017,01/12/2017,false
19642,2017,"Inspections & Appeals, Department of",,Official/Administrator,Retirement,Permanent (Merit),014,28,INVESTIGATOR 3,01/12/2017,01/12/2017,false
19647,2017,"Public Defense, Department of",,Protective Services - Sworn,Voluntary Resignation,Permanent (Merit),014,23,AIRPORT FIREFIGHTER,01/12/2017,01/12/2017,false
