Record Number,Fiscal Year,Department Name,Sub-Unit of Department,Reason,Employee Status,Pay Plan,Pay Grade,Classification Title,Separation Date,Pay Period End Date,Current Fiscal Year,Separation Year,Recent Layoff,Voluntary/Involuntary,Employee Status Encoded,EEO_EEO Category Name_Administrative Support,EEO_EEO Category Name_Official/Administrator,EEO_EEO Category Name_Professional,EEO_EEO Category Name_Protective Services - Sworn,EEO_EEO Category Name_Service/Maintenance,EEO_EEO Category Name_Skilled Craft,EEO_EEO Category Name_Technician,EEO_EEO Category Name_nan
21423,2018,"Public Defense, Department of",Field Operations,Voluntary Resignation,Permanent (Merit),014,21.0,AIR BASE SECURITY OFFICER,2017-11-29,2017-11-30,False,2017,False,Involuntary,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
21424,2018,"Public Health, Department of",Field Operations,Voluntary Resignation,Permanent (Merit),013,30.0,COMMUNITY HEALTH CONSULTANT,2017-11-29,2017-11-30,False,2017,False,Involuntary,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
21425,2018,Attorney General,Field Operations,Voluntary Resignation,Permanent (Nonmerit),000,24.0,PROGRAM PLANNER 2,2017-11-30,2017-11-30,False,2017,False,Involuntary,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
21426,2018,Auditor of State,Field Operations,Voluntary Resignation,Permanent (Nonmerit),000,27.0,ASST AUDITOR 1,2017-11-30,2017-11-30,False,2017,False,Involuntary,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
21427,2018,"Corrections, Department of",Fort Madison,Retirement,Permanent (Merit),014,18.0,CLERK-SPECIALIST,2017-11-30,2017-11-30,False,2017,False,Voluntary,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21428,2018,"Corrections, Department of",Anamosa,Retirement,Permanent (Merit),014,23.0,CORRECTIONAL OFFICER,2017-11-30,2017-11-30,False,2017,False,Voluntary,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
21429,2018,"Corrections, Department of",Newton,Retirement,Permanent (Merit),014,30.0,REGISTERED NURSE,2017-11-30,2017-11-30,False,2017,False,Voluntary,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
21430,2018,"Corrections, Department of",Newton,Involuntary Dismissal,Probationary (Merit),014,23.0,CORRECTIONAL OFFICER,2017-11-30,2017-11-30,False,2017,False,Involuntary,2,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
21431,2018,"Corrections, Department of",Mitchellville,Retirement,Permanent (Merit),014,23.0,CORRECTIONAL OFFICER,2017-11-30,2017-11-30,False,2017,False,Voluntary,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
21433,2018,"Aging, Iowa Department on",Field Operations,Involuntary Layoff,Permanent (Merit),014,26.0,PROGRAM PLANNER 2,2017-11-30,2017-11-30,False,2017,False,Involuntary,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
21432,2018,"Aging, Iowa Department on",Field Operations,Involuntary Layoff,Permanent (Merit),014,17.0,SECRETARY 1,2017-11-30,2017-11-30,False,2017,False,Involuntary,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21434,2018,Iowa Workforce Development,Field Operations,Involuntary Dismissal,Probationary (Merit),014,24.0,WORKFORCE ADVISOR,2017-11-30,2017-11-30,False,2017,False,Involuntary,2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
21436,2018,"Human Services, Department of",Field Operations,Voluntary Resignation,Permanent (Merit),014,14.0,CLERK-ADVANCED,2017-11-30,2017-11-30,False,2017,False,Involuntary,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21435,2018,"Human Services, Department of",Field Operations,Retirement,Permanent (Merit),000,29.0,INCOME MAINT SUPERVISOR,2017-11-30,2017-11-30,False,2017,False,Voluntary,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21438,2018,"Human Services, Department of",Woodward,Retirement,Permanent (Merit),014,25.0,SOCIAL WORKER 2,2017-11-30,2017-11-30,False,2017,False,Voluntary,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
21439,2018,"Human Services, Department of",Woodward,Retirement,Permanent (Merit),014,19.0,RESIDENT TREATMENT WORKER,2017-11-30,2017-11-30,False,2017,False,Voluntary,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
21437,2018,"Human Services, Department of",Woodward,Retirement,Permanent (Merit),000,20.0,SECRETARY 2,2017-11-30,2017-11-30,False,2017,False,Voluntary,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21440,2018,"State Public Defender, Office of",Field Operations,Retirement,Permanent (Nonmerit),000,39.0,PUBLIC DEFENDER SUPERVISOR 1,2017-11-30,2017-11-30,False,2017,False,Voluntary,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
21443,2018,"Natural Resources, Department of",Field Operations,Voluntary Resignation,Permanent (Merit),000,30.0,ENVIRONMENTAL ENGINEER,2017-11-30,2017-11-30,False,2017,False,Involuntary,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
21444,2018,Iowa Lottery Authority,Field Operations,Retirement,Permanent (Merit),014,35.0,INFO TECH SPECIALIST 5,2017-11-30,2017-11-30,False,2017,False,Voluntary,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
21445,2018,Secretary of State,Field Operations,Voluntary Resignation,Permanent (Nonmerit),000,24.0,ACCOUNTANT 2,2017-11-30,2017-11-30,False,2017,False,Involuntary,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
21446,2018,Iowa Veterans Home,Field Operations,Voluntary Resignation,Probationary (Merit),014,30.0,REGISTERED NURSE,2017-11-30,2017-11-30,False,2017,False,Involuntary,2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
21447,2018,"Administrative Services, Department of",Field Operations,Voluntary Resignation,Permanent (Nonmerit),000,38.0,PUBLIC SERVICE MANAGER 2,2017-12-01,2017-12-14,False,2017,False,Involuntary,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
21448,2018,"Corrections, Department of",Oakdale,Voluntary Resignation,Probationary (Merit),014,26.0,LICENSED PRACTICAL NURSE,2017-12-01,2017-12-14,False,2017,False,Involuntary,2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
21449,2018,"Corrections, Department of",Mt Pleasant,Voluntary Resignation,Permanent (Merit),014,23.0,CORRECTIONAL OFFICER,2017-12-01,2017-12-14,False,2017,False,Involuntary,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
21450,2018,College Student Aid Commission,Field Operations,Voluntary Resignation,Permanent (Merit),014,25.0,INFO SPECIALIST 2,2017-12-01,2017-12-14,False,2017,False,Involuntary,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
21451,2018,"Human Services, Department of",General Administration,Retirement,Permanent (Merit),014,29.0,PROGRAM PLANNER 3,2017-12-01,2017-12-14,False,2017,False,Voluntary,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
21452,2018,"Human Services, Department of",Field Operations,Voluntary Resignation,Permanent (Merit),014,19.0,SOCIAL WORK ASSOCIATE,2017-12-01,2017-12-14,False,2017,False,Involuntary,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21453,2018,"Human Services, Department of",Field Operations,Voluntary Resignation,Probationary (Merit),009,25.0,SOCIAL WORKER 2,2017-12-01,2017-12-14,False,2017,False,Involuntary,2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
21454,2018,"Human Services, Department of",Eldora Training School,Disability/Medical,Permanent (Merit),014,14.0,COOK 1,2017-12-01,2017-12-14,False,2017,False,Involuntary,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
21455,2018,"Human Services, Department of",Cherokee CCUSO,Voluntary Resignation,Permanent (Merit),000,27.0,TREATMENT PROGRAM SUPERVISOR,2017-12-01,2017-12-14,False,2017,False,Involuntary,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
21457,2018,"Human Services, Department of",Cherokee,Retirement,Permanent (Merit),014,19.0,RESIDENT TREATMENT WORKER,2017-12-01,2017-12-14,False,2017,False,Voluntary,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
21456,2018,"Human Services, Department of",Cherokee,Voluntary Resignation,Permanent (Merit),014,30.0,REGISTERED NURSE,2017-12-01,2017-12-14,False,2017,False,Involuntary,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
21458,2018,"Human Services, Department of",Woodward,Involuntary Dismissal,Probationary (Merit),014,19.0,RESIDENT TREATMENT WORKER,2017-12-01,2017-12-14,False,2017,False,Involuntary,2,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
21459,2018,"Human Services, Department of",Woodward,Voluntary Resignation,Probationary (Merit),014,19.0,RESIDENT TREATMENT WORKER,2017-12-01,2017-12-14,False,2017,False,Involuntary,2,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
21461,2018,"Public Health, Department of",Field Operations,Voluntary Resignation,Permanent (Merit),014,15.0,TYPIST-ADVANCED,2017-12-01,2017-12-14,False,2017,False,Involuntary,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21462,2018,"Public Safety, Department of",Field Operations,Retirement,Permanent (Nonmerit),007,79.0,TROOPER 3,2017-12-01,2017-12-14,False,2017,False,Voluntary,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
21463,2018,Iowa Veterans Home,Field Operations,Disability/Medical,Permanent (Merit),014,26.0,LICENSED PRACTICAL NURSE,2017-12-01,2017-12-14,False,2017,False,Involuntary,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
21464,2018,"Human Services, Department of",Independence,Death,Permanent (Nonmerit),000,24.0,PHYSICIAN,2017-12-03,2017-12-14,False,2017,False,Involuntary,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
21465,2018,Iowa Veterans Home,Field Operations,Retirement,Permanent (Merit),014,19.0,RESIDENT TREATMENT WORKER,2017-12-03,2017-12-14,False,2017,False,Voluntary,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
21466,2018,"Education, Department of",Vocational Rehabilitation,Voluntary Resignation,Permanent (Merit),009,23.0,REHABILITATION ASSOCIATE,2017-12-04,2017-12-14,False,2017,False,Involuntary,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
21467,2018,Iowa Veterans Home,Field Operations,Voluntary Resignation,Permanent (Merit),014,13.0,FOOD SERVICE WORKER,2017-12-04,2017-12-14,False,2017,False,Involuntary,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
21468,2018,"Human Services, Department of",Glenwood,Abandoned Job,Probationary (Merit),014,19.0,RESIDENT TREATMENT WORKER,2017-12-05,2017-12-14,False,2017,False,Involuntary,2,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
21469,2018,Iowa Veterans Home,Field Operations,Voluntary Resignation,Permanent (Merit),014,19.0,RESIDENT TREATMENT WORKER,2017-12-05,2017-12-14,False,2017,False,Involuntary,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
21470,2018,"Human Services, Department of",Eldora Training School,Involuntary Dismissal,Permanent (Merit),014,19.0,YOUTH SERVICES WORKER,2017-12-06,2017-12-14,False,2017,False,Involuntary,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
21471,2018,Iowa Veterans Home,Field Operations,Voluntary Resignation,Permanent (Merit),014,19.0,RESIDENT TREATMENT WORKER,2017-12-06,2017-12-14,False,2017,False,Involuntary,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
21472,2018,"Corrections, Department of",Newton,Retirement,Permanent (Merit),014,23.0,CORRECTIONAL OFFICER,2017-12-07,2017-12-14,False,2017,False,Voluntary,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
21473,2018,"Human Services, Department of",Field Operations,Voluntary Resignation,Probationary (Merit),014,19.0,SOCIAL WORK ASSOCIATE,2017-12-07,2017-12-14,False,2017,False,Involuntary,2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21474,2018,"Human Services, Department of",Field Operations,Voluntary Resignation,Permanent (Merit),009,25.0,SOCIAL WORKER 2,2017-12-07,2017-12-14,False,2017,False,Involuntary,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
21476,2018,"Human Services, Department of",Independence,Involuntary Layoff,Permanent (Merit),014,13.0,CUSTODIAL WORKER,2017-12-07,2017-12-14,False,2017,False,Involuntary,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
21475,2018,"Human Services, Department of",Independence,Involuntary Layoff,Permanent (Merit),014,13.0,CUSTODIAL WORKER,2017-12-07,2017-12-14,False,2017,False,Involuntary,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
21477,2018,"Inspections & Appeals, Department of",Field Operations,Voluntary Resignation,Permanent (Merit),014,31.0,HEALTH FACILITIES SURVEYOR,2017-12-07,2017-12-14,False,2017,False,Involuntary,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
21478,2018,"Public Safety, Department of",Field Operations,Voluntary Resignation,Permanent (Merit),014,27.0,CRIMINAL INTEL ANALYST SR.,2017-12-07,2017-12-14,False,2017,False,Involuntary,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
21479,2018,"Administrative Services, Department of",Field Operations,Voluntary Resignation,Permanent (Merit),014,13.0,CUSTODIAL WORKER,2017-12-08,2017-12-14,False,2017,False,Involuntary,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
21480,2018,Auditor of State,Field Operations,Voluntary Resignation,Permanent (Nonmerit),000,27.0,ASST AUDITOR 1,2017-12-08,2017-12-14,False,2017,False,Involuntary,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
21481,2018,"Commerce, Department of",Banking Division,Retirement,Permanent (Nonmerit),000,41.0,BANK EXAMINER SENIOR,2017-12-08,2017-12-14,False,2017,False,Voluntary,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
21482,2018,"Human Services, Department of",Field Operations,Voluntary Resignation,Permanent (Merit),009,25.0,SOCIAL WORKER 2,2017-12-08,2017-12-14,False,2017,False,Involuntary,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
21484,2018,"Human Services, Department of",Independence,Retirement,Permanent (Merit),014,16.0,DRIVER,2017-12-08,2017-12-14,False,2017,False,Voluntary,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
21483,2018,"Human Services, Department of",Independence,Involuntary Layoff,Permanent (Merit),014,13.0,CUSTODIAL WORKER,2017-12-08,2017-12-14,False,2017,False,Involuntary,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
21485,2018,"Human Services, Department of",Independence,Retirement,Permanent (Merit),014,24.0,CARPENTER 2,2017-12-08,2017-12-14,False,2017,False,Voluntary,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
21486,2018,"Public Safety, Department of",Field Operations,Retirement,Permanent (Nonmerit),000,33.0,SERGEANT,2017-12-08,2017-12-14,False,2017,False,Voluntary,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
21487,2018,Treasurer of State,Field Operations,Retirement,Permanent (Nonmerit),000,27.0,EXEC SECRETARY,2017-12-08,2017-12-14,False,2017,False,Voluntary,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21488,2018,"Corrections, Department of",Newton,Involuntary Dismissal,Permanent (Merit),014,23.0,CORRECTIONAL OFFICER,2017-12-09,2017-12-14,False,2017,False,Involuntary,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
21489,2018,"Corrections, Department of",Clarinda,Retirement,Permanent (Merit),014,30.0,REGISTERED NURSE,2017-12-10,2017-12-14,False,2017,False,Voluntary,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
21490,2018,Iowa Veterans Home,Field Operations,Voluntary Resignation,Permanent (Merit),014,19.0,RESIDENT TREATMENT WORKER,2017-12-10,2017-12-14,False,2017,False,Involuntary,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
21491,2018,"Human Services, Department of",Glenwood,Voluntary Resignation,Permanent (Merit),014,26.0,LICENSED PRACTICAL NURSE,2017-12-11,2017-12-14,False,2017,False,Involuntary,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
21492,2018,"Natural Resources, Department of",Field Operations,Involuntary Dismissal,Permanent (Merit),009,27.0,ENVIRONMENTAL SPECIALIST,2017-12-11,2017-12-14,False,2017,False,Involuntary,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
21493,2018,Iowa Veterans Home,Field Operations,Voluntary Resignation,Permanent (Merit),014,19.0,RESIDENT TREATMENT WORKER,2017-12-11,2017-12-14,False,2017,False,Involuntary,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
21494,2018,Agriculture and Land Stewardship,Field Operations,Involuntary Resignation,Permanent (Merit),014,20.0,SECRETARY 2,2017-12-12,2017-12-14,False,2017,False,Involuntary,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21495,2018,"Corrections, Department of",Anamosa,Involuntary Dismissal,Permanent (Merit),014,23.0,CORRECTIONAL OFFICER,2017-12-12,2017-12-14,False,2017,False,Involuntary,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
21496,2018,"Corrections, Department of",Anamosa,Involuntary Dismissal,Permanent (Merit),014,23.0,CORRECTIONAL OFFICER,2017-12-12,2017-12-14,False,2017,False,Involuntary,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
21497,2018,"Human Services, Department of",Woodward,Retirement,Permanent (Merit),014,24.0,POWER PLANT ENGINEER 3,2017-12-12,2017-12-14,False,2017,False,Voluntary,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
21498,2018,"Corrections, Department of",Rockwell City,Retirement,Permanent (Merit),014,23.0,CORRECTIONAL OFFICER,2017-12-13,2017-12-14,False,2017,False,Voluntary,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
21501,2018,"Human Services, Department of",Field Operations,Voluntary Resignation,Probationary (Merit),014,19.0,SOCIAL WORK ASSOCIATE,2017-12-13,2017-12-14,False,2017,False,Involuntary,2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21499,2018,"Human Services, Department of",Field Operations,Voluntary Resignation,Probationary (Merit),009,25.0,SOCIAL WORKER 2,2017-12-13,2017-12-14,False,2017,False,Involuntary,2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
21500,2018,"Human Services, Department of",Field Operations,Voluntary Resignation,Permanent (Merit),009,25.0,SOCIAL WORKER 2,2017-12-13,2017-12-14,False,2017,False,Involuntary,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
21503,2018,"Human Services, Department of",Field Operations,Voluntary Resignation,Permanent (Merit),009,25.0,SOCIAL WORKER 2,2017-12-13,2017-12-14,False,2017,False,Involuntary,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
21502,2018,"Human Services, Department of",Field Operations,Voluntary Resignation,Permanent (Merit),014,19.0,SOCIAL WORK ASSOCIATE,2017-12-13,2017-12-14,False,2017,False,Involuntary,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21504,2018,"Natural Resources, Department of",Field Operations,Involuntary Layoff,Permanent (Merit),014,15.0,TYPIST-ADVANCED,2017-12-13,2017-12-14,False,2017,False,Involuntary,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21507,2018,"Natural Resources, Department of",Field Operations,Involuntary Layoff,Permanent (Merit),009,27.0,ENVIRONMENTAL SPECIALIST,2017-12-13,2017-12-14,False,2017,False,Involuntary,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
21506,2018,"Natural Resources, Department of",Field Operations,Involuntary Layoff,Permanent (Merit),009,27.0,ENVIRONMENTAL SPECIALIST,2017-12-13,2017-12-14,False,2017,False,Involuntary,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
21505,2018,"Natural Resources, Department of",Field Operations,Involuntary Layoff,Permanent (Merit),009,27.0,ENVIRONMENTAL SPECIALIST,2017-12-13,2017-12-14,False,2017,False,Involuntary,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
21508,2018,"Administrative Services, Department of",Field Operations,Retirement,Permanent (Nonmerit),000,24.0,PUBLIC SERVICE EXECUTIVE,2017-12-14,2017-12-14,False,2017,False,Voluntary,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
21509,2018,Agriculture and Land Stewardship,Field Operations,Retirement,Permanent (Merit),014,29.0,PROGRAM PLANNER 3,2017-12-14,2017-12-14,False,2017,False,Voluntary,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
21510,2018,Attorney General,Field Operations,Voluntary Resignation,Permanent (Nonmerit),000,23.0,PARALEGAL,2017-12-14,2017-12-14,False,2017,False,Involuntary,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21511,2018,Attorney General,Field Operations,Retirement,Permanent (Nonmerit),000,29.0,INVESTIGATOR 4,2017-12-14,2017-12-14,False,2017,False,Voluntary,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
21513,2018,"Corrections, Department of",Anamosa,Voluntary Resignation,Permanent (Merit),014,15.0,MAIL CLERK 2,2017-12-14,2017-12-14,False,2017,False,Involuntary,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21514,2018,"Corrections, Department of",Newton,Voluntary Resignation,Permanent (Merit),014,15.0,TYPIST-ADVANCED,2017-12-14,2017-12-14,False,2017,False,Involuntary,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21515,2018,"Corrections, Department of",Rockwell City,Retirement,Permanent (Merit),014,23.0,CORRECTIONAL OFFICER,2017-12-14,2017-12-14,False,2017,False,Voluntary,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
21516,2018,"Corrections, Department of",Mitchellville,Retirement,Permanent (Merit),014,23.0,CORRECTIONAL OFFICER,2017-12-14,2017-12-14,False,2017,False,Voluntary,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
21517,2018,Iowa Workforce Development,Field Operations,Involuntary Dismissal,Probationary (Merit),014,18.0,CLERK-SPECIALIST,2017-12-14,2017-12-14,False,2017,False,Involuntary,2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21524,2018,"Human Services, Department of",Field Operations,Voluntary Resignation,Permanent (Merit),014,19.0,SOCIAL WORK ASSOCIATE,2017-12-14,2017-12-14,False,2017,False,Involuntary,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21528,2018,"Human Services, Department of",Field Operations,Voluntary Resignation,Permanent (Merit),009,25.0,SOCIAL WORKER 2,2017-12-14,2017-12-14,False,2017,False,Involuntary,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
21518,2018,"Human Services, Department of",Field Operations,Voluntary Resignation,Permanent (Merit),014,19.0,SOCIAL WORK ASSOCIATE,2017-12-14,2017-12-14,False,2017,False,Involuntary,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21519,2018,"Human Services, Department of",Field Operations,Voluntary Resignation,Permanent (Merit),009,25.0,SOCIAL WORKER 2,2017-12-14,2017-12-14,False,2017,False,Involuntary,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
21520,2018,"Human Services, Department of",Field Operations,Voluntary Resignation,Permanent (Merit),009,25.0,SOCIAL WORKER 2,2017-12-14,2017-12-14,False,2017,False,Involuntary,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
21521,2018,"Human Services, Department of",Field Operations,Voluntary Resignation,Permanent (Merit),009,25.0,SOCIAL WORKER 2,2017-12-14,2017-12-14,False,2017,False,Involuntary,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
21527,2018,"Human Services, Department of",Field Operations,Voluntary Resignation,Probationary (Merit),009,25.0,SOCIAL WORKER 2,2017-12-14,2017-12-14,False,2017,False,Involuntary,2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
21523,2018,"Human Services, Department of",Field Operations,Voluntary Resignation,Permanent (Merit),009,25.0,SOCIAL WORKER 2,2017-12-14,2017-12-14,False,2017,False,Involuntary,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
21525,2018,"Human Services, Department of",Field Operations,Voluntary Resignation,Permanent (Merit),009,25.0,SOCIAL WORKER 2,2017-12-14,2017-12-14,False,2017,False,Involuntary,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
21530,2018,"Human Services, Department of",Field Operations,Voluntary Resignation,Permanent (Merit),009,25.0,SOCIAL WORKER 2,2017-12-14,2017-12-14,False,2017,False,Involuntary,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
21529,2018,"Human Services, Department of",Field Operations,Voluntary Resignation,Permanent (Merit),009,25.0,SOCIAL WORKER 2,2017-12-14,2017-12-14,False,2017,False,Involuntary,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
21526,2018,"Human Services, Department of",Field Operations,Voluntary Resignation,Permanent (Merit),009,25.0,SOCIAL WORKER 2,2017-12-14,2017-12-14,False,2017,False,Involuntary,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
21522,2018,"Human Services, Department of",Field Operations,Voluntary Resignation,Probationary (Merit),009,25.0,SOCIAL WORKER 2,2017-12-14,2017-12-14,False,2017,False,Involuntary,2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
21533,2018,"Natural Resources, Department of",Field Operations,Retirement,Permanent (Merit),017,28.0,CONSERVATION OFFICER,2017-12-14,2017-12-14,False,2017,False,Voluntary,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
21532,2018,"Natural Resources, Department of",Field Operations,Retirement,Permanent (Merit),009,27.0,ENVIRONMENTAL SPECIALIST,2017-12-14,2017-12-14,False,2017,False,Voluntary,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
21535,2018,"Public Defense, Department of",Field Operations,Voluntary Resignation,Permanent (Merit),014,24.0,POWER PLANT ENGINEER 3,2017-12-14,2017-12-14,False,2017,False,Involuntary,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
21534,2018,"Public Defense, Department of",Field Operations,Voluntary Resignation,Permanent (Merit),014,29.0,INFO TECH SPECIALIST 3,2017-12-14,2017-12-14,False,2017,False,Involuntary,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
21536,2018,Agriculture and Land Stewardship,Field Operations,Voluntary Resignation,Permanent (Nonmerit),000,29.0,EXEC OFF 1,2017-12-15,2017-12-28,False,2017,False,Involuntary,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
21537,2018,Attorney General,Field Operations,Voluntary Resignation,Permanent (Nonmerit),000,34.0,ASST ATTORNEY GENERAL 2,2017-12-15,2017-12-28,False,2017,False,Involuntary,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
21538,2018,"Corrections, Department of",Fort Madison,Voluntary Resignation,Permanent (Merit),014,23.0,CORRECTIONAL OFFICER,2017-12-15,2017-12-28,False,2017,False,Involuntary,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
21539,2018,Governor/Lt. Governor's Office,Field Operations,Voluntary Resignation,Permanent (Nonmerit),,24.0,,2017-12-15,2017-12-28,False,2017,False,Involuntary,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
